epoch,acc,loss,val_acc,val_loss
0,0.18889582034244584,2.1628768671919834,0.6705,9.672160797157092
1,0.22657517155333748,2.110220628824371,0.1885,2.331231051683426
2,0.23680598879336417,2.0765572368540917,0.5635,1.876159793674946
3,0.28059887712773723,2.0750763804780195,0.649,2.339251941472292
4,0.34248284467182827,1.9891460000167247,0.5805,2.673100365638733
5,0.3483468496680483,1.8805963525754248,0.562,2.672695823520422
6,0.3092950717627965,1.8376065217623172,0.1465,9.993840756177903
7,0.34123518403366215,1.907212399767104,0.556,2.901349709868431
8,0.3364940736156959,1.8189506093561836,0.588,2.0907145482078193
9,0.38677479726630154,1.7275919049662198,0.0705,1.8872238336801528
10,0.41634435433933903,1.6956081847510929,0.233,1.9770452469587325
11,0.3928883343953604,1.7201809104910808,0.563,6.722120908975601
12,0.4185901435032831,1.6847590452124013,0.5425,1.7497430192232133
13,0.4374298191003627,1.6359708522307597,0.403,1.6879659836292267
14,0.45726762321020614,1.601880306016633,0.117,11.789441850662232
15,0.456519026828422,1.5428052463460102,0.293,3.3397774554491044
16,0.4532751091926156,1.4911726479075211,0.4885,1.450873867213726
17,0.4791016843455773,1.4086650625735764,0.5215,1.3758103002309798
18,0.49107922646156044,1.3638834384182283,0.506,1.3216913785934448
19,0.5059263880447677,1.3263971491002768,0.639,1.4640378835499286
20,0.5080474111190529,1.280153545192533,0.64,1.3350471410602331
21,0.542358078613775,1.2287689285730468,0.609,1.225338977575302
22,0.5431066749955592,1.1965346812309507,0.6085,1.2084104239940643
23,0.5423580786063384,1.1990951899060294,0.57,1.1309180113598705
24,0.5225202744890584,1.1984938282261621,0.5825,1.09166606554389
25,0.5510917030716418,1.1344728128804464,0.5575,1.0839751552641392
26,0.5724266999524903,1.1001627728110615,0.663,1.2467616051733494
27,0.568059887725416,1.0714100930368016,0.579,1.0908481994569301
28,0.5547099189057769,1.082718412725909,0.6205,1.0642411129772662
29,0.5910168434223084,1.0048560358402658,0.6205,1.0313510755300521
30,0.5721771678252289,1.0197642987843833,0.648,1.1681795772314072
31,0.6059887710579915,0.9155271862271571,0.4485,1.2144315088391304
32,0.6031191516130773,0.9058984157076793,0.603,1.5717055230736732
33,0.6102308172214351,0.8882658861163848,0.45,1.860055082321167
34,0.6096069869051408,0.8402194825991645,0.626,1.5489165043234825
35,0.6182158452900811,0.8427618568455214,0.6125,1.1471591540277004
36,0.6122270742581177,0.8376216754419538,0.656,1.395353767156601
37,0.6290704928259513,0.7594329167494385,0.7085,1.0824149228502065
38,0.6358078602694454,0.7499323989961271,0.69,1.1522724936157465
39,0.6174672489120152,0.8013569635037548,0.6415,1.2140920323431492
